CO_PER_ROL,CONAME,CEOANN,AGE,TDC2,GVKEY,EXECID,YEAR,BECAMECEO,JOINED_CO,LEFTOFC,SICDESC,INDDESC,SPCODE,TICKER,SPINDEX,SIC
28244,AIR PRODUCTS & CHEMICALS INC,CEO,60,23410.682,001209,27315,2014,2008-01-01,1976-01-01,2014-07-01,INDUSTRIAL INORGANIC CHEMICALS,Industrial Gases,SP,APD,1510,2810
49820,AIR PRODUCTS & CHEMICALS INC,CEO,71,11452.55,001209,46680,2015,2014-07-01,,,INDUSTRIAL INORGANIC CHEMICALS,Industrial Gases,SP,APD,1510,2810
49820,AIR PRODUCTS & CHEMICALS INC,CEO,72,11535.833,001209,46680,2016,2014-07-01,,,INDUSTRIAL INORGANIC CHEMICALS,Industrial Gases,SP,APD,1510,2810
49820,AIR PRODUCTS & CHEMICALS INC,CEO,73,13959.766,001209,46680,2017,2014-07-01,,,INDUSTRIAL INORGANIC CHEMICALS,Industrial Gases,SP,APD,1510,2810
49820,AIR PRODUCTS & CHEMICALS INC,CEO,74,13941.507,001209,46680,2018,2014-07-01,,,INDUSTRIAL INORGANIC CHEMICALS,Industrial Gases,SP,APD,1510,2810
49820,AIR PRODUCTS & CHEMICALS INC,CEO,75,17031.957,001209,46680,2019,2014-07-01,,,INDUSTRIAL INORGANIC CHEMICALS,Industrial Gases,SP,APD,1510,2810
49820,AIR PRODUCTS & CHEMICALS INC,CEO,76,15597.376,001209,46680,2020,2014-07-01,,,INDUSTRIAL INORGANIC CHEMICALS,Industrial Gases,SP,APD,1510,2810
49820,AIR PRODUCTS & CHEMICALS INC,CEO,77,13819.01,001209,46680,2021,2014-07-01,,,INDUSTRIAL INORGANIC CHEMICALS,Industrial Gases,SP,APD,1510,2810
49820,AIR PRODUCTS & CHEMICALS INC,CEO,78,18483.105,001209,46680,2022,2014-07-01,,,INDUSTRIAL INORGANIC CHEMICALS,Industrial Gases,SP,APD,1510,2810
49820,AIR PRODUCTS & CHEMICALS INC,CEO,79,9994.108,001209,46680,2023,2014-07-01,,,INDUSTRIAL INORGANIC CHEMICALS,Industrial Gases,SP,APD,1510,2810
25016,HONEYWELL INTERNATIONAL INC,CEO,60,47403.506,001300,20931,2013,2002-06-01,2002-02-18,2017-03-31,CONGLOMERATES,Industrial Conglomerates,SP,HON,2010,9997
25016,HONEYWELL INTERNATIONAL INC,CEO,61,45147.832,001300,20931,2014,2002-06-01,2002-02-18,2017-03-31,CONGLOMERATES,Industrial Conglomerates,SP,HON,2010,9997
25016,HONEYWELL INTERNATIONAL INC,CEO,62,66493.446,001300,20931,2015,2002-06-01,2002-02-18,2017-03-31,CONGLOMERATES,Industrial Conglomerates,SP,HON,2010,9997
25016,HONEYWELL INTERNATIONAL INC,CEO,63,56422.132,001300,20931,2016,2002-06-01,2002-02-18,2017-03-31,CONGLOMERATES,Industrial Conglomerates,SP,HON,2010,9997
54028,HONEYWELL INTERNATIONAL INC,CEO,51,12596.352,001300,50374,2017,2017-03-31,,2023-06-01,CONGLOMERATES,Industrial Conglomerates,SP,HON,2010,9997
54028,HONEYWELL INTERNATIONAL INC,CEO,52,15465.867,001300,50374,2018,2017-03-31,,2023-06-01,CONGLOMERATES,Industrial Conglomerates,SP,HON,2010,9997
54028,HONEYWELL INTERNATIONAL INC,CEO,53,17171.427,001300,50374,2019,2017-03-31,,2023-06-01,CONGLOMERATES,Industrial Conglomerates,SP,HON,2010,9997
54028,HONEYWELL INTERNATIONAL INC,CEO,54,23802.684,001300,50374,2020,2017-03-31,,2023-06-01,CONGLOMERATES,Industrial Conglomerates,SP,HON,2010,9997
54028,HONEYWELL INTERNATIONAL INC,CEO,55,27197.147,001300,50374,2021,2017-03-31,,2023-06-01,CONGLOMERATES,Industrial Conglomerates,SP,HON,2010,9997
54028,HONEYWELL INTERNATIONAL INC,CEO,56,52237.463,001300,50374,2022,2017-03-31,,2023-06-01,CONGLOMERATES,Industrial Conglomerates,SP,HON,2010,9997
69004,HONEYWELL INTERNATIONAL INC,CEO,58,14719.741,001300,62755,2023,2023-06-01,,,CONGLOMERATES,Industrial Conglomerates,SP,HON,2010,9997
17159,SKYWORKS SOLUTIONS INC,CEO,56,6319.296,001327,17260,2013,2000-04-01,1995-01-01,2016-05-11,SEMICONDUCTORS AND RELATED DEVICES,Semiconductors,SP,SWKS,4530,3674
17159,SKYWORKS SOLUTIONS INC,CEO,57,17543.898,001327,17260,2014,2000-04-01,1995-01-01,2016-05-11,SEMICONDUCTORS AND RELATED DEVICES,Semiconductors,SP,SWKS,4530,3674
17159,SKYWORKS SOLUTIONS INC,CEO,58,28369.821,001327,17260,2015,2000-04-01,1995-01-01,2016-05-11,SEMICONDUCTORS AND RELATED DEVICES,Semiconductors,SP,SWKS,4530,3674
17159,SKYWORKS SOLUTIONS INC,CEO,59,17393.556,001327,17260,2016,2000-04-01,1995-01-01,2016-05-11,SEMICONDUCTORS AND RELATED DEVICES,Semiconductors,SP,SWKS,4530,3674
24897,SKYWORKS SOLUTIONS INC,CEO,50,13483.28,001327,24319,2017,2016-05-11,2001-08-01,,SEMICONDUCTORS AND RELATED DEVICES,Semiconductors,SP,SWKS,4530,3674
24897,SKYWORKS SOLUTIONS INC,CEO,51,11503.598,001327,24319,2018,2016-05-11,2001-08-01,,SEMICONDUCTORS AND RELATED DEVICES,Semiconductors,SP,SWKS,4530,3674
24897,SKYWORKS SOLUTIONS INC,CEO,52,14466.524,001327,24319,2019,2016-05-11,2001-08-01,,SEMICONDUCTORS AND RELATED DEVICES,Semiconductors,SP,SWKS,4530,3674
24897,SKYWORKS SOLUTIONS INC,CEO,53,25191.869,001327,24319,2020,2016-05-11,2001-08-01,,SEMICONDUCTORS AND RELATED DEVICES,Semiconductors,SP,SWKS,4530,3674
24897,SKYWORKS SOLUTIONS INC,CEO,54,16150.421,001327,24319,2021,2016-05-11,2001-08-01,,SEMICONDUCTORS AND RELATED DEVICES,Semiconductors,SP,SWKS,4530,3674
24897,SKYWORKS SOLUTIONS INC,CEO,55,16667.162,001327,24319,2022,2016-05-11,2001-08-01,,SEMICONDUCTORS AND RELATED DEVICES,Semiconductors,SP,SWKS,4530,3674
24897,SKYWORKS SOLUTIONS INC,CEO,56,3055.487,001327,24319,2023,2016-05-11,2001-08-01,,SEMICONDUCTORS AND RELATED DEVICES,Semiconductors,SP,SWKS,4530,3674
79,HESS CORP,CEO,59,13826.574,001380,02132,2013,1995-05-03,,,CRUDE PETROLEUM AND NATURAL GAS,Oil & Gas Exploration & Production,SP,HES,1010,1311
79,HESS CORP,CEO,60,12378.23,001380,02132,2014,1995-05-03,,,CRUDE PETROLEUM AND NATURAL GAS,Oil & Gas Exploration & Production,SP,HES,1010,1311
79,HESS CORP,CEO,61,11033.686,001380,02132,2015,1995-05-03,,,CRUDE PETROLEUM AND NATURAL GAS,Oil & Gas Exploration & Production,SP,HES,1010,1311
79,HESS CORP,CEO,62,9281.335,001380,02132,2016,1995-05-03,,,CRUDE PETROLEUM AND NATURAL GAS,Oil & Gas Exploration & Production,SP,HES,1010,1311
79,HESS CORP,CEO,63,10199.867,001380,02132,2017,1995-05-03,,,CRUDE PETROLEUM AND NATURAL GAS,Oil & Gas Exploration & Production,SP,HES,1010,1311
79,HESS CORP,CEO,64,9572.441,001380,02132,2018,1995-05-03,,,CRUDE PETROLEUM AND NATURAL GAS,Oil & Gas Exploration & Production,SP,HES,1010,1311
79,HESS CORP,CEO,65,9302.817,001380,02132,2019,1995-05-03,,,CRUDE PETROLEUM AND NATURAL GAS,Oil & Gas Exploration & Production,SP,HES,1010,1311
79,HESS CORP,CEO,66,7747.726,001380,02132,2020,1995-05-03,,,CRUDE PETROLEUM AND NATURAL GAS,Oil & Gas Exploration & Production,SP,HES,1010,1311
79,HESS CORP,CEO,67,28533.945,001380,02132,2021,1995-05-03,,,CRUDE PETROLEUM AND NATURAL GAS,Oil & Gas Exploration & Production,SP,HES,1010,1311
79,HESS CORP,CEO,68,10042.186,001380,02132,2022,1995-05-03,,,CRUDE PETROLEUM AND NATURAL GAS,Oil & Gas Exploration & Production,SP,HES,1010,1311
79,HESS CORP,CEO,69,12150.205,001380,02132,2023,1995-05-03,,,CRUDE PETROLEUM AND NATURAL GAS,Oil & Gas Exploration & Production,SP,HES,1010,1311
43255,AMERICAN ELECTRIC POWER CO,CEO,53,10456.847,001440,40778,2013,2011-11-12,,,ELECTRIC SERVICES,Electric Utilities,SP,AEP,5510,4911
43255,AMERICAN ELECTRIC POWER CO,CEO,54,11013.733,001440,40778,2014,2011-11-12,,,ELECTRIC SERVICES,Electric Utilities,SP,AEP,5510,4911
43255,AMERICAN ELECTRIC POWER CO,CEO,55,11253.539,001440,40778,2015,2011-11-12,,,ELECTRIC SERVICES,Electric Utilities,SP,AEP,5510,4911
43255,AMERICAN ELECTRIC POWER CO,CEO,56,11148.791,001440,40778,2016,2011-11-12,,,ELECTRIC SERVICES,Electric Utilities,SP,AEP,5510,4911
43255,AMERICAN ELECTRIC POWER CO,CEO,57,11169.46,001440,40778,2017,2011-11-12,,,ELECTRIC SERVICES,Electric Utilities,SP,AEP,5510,4911
43255,AMERICAN ELECTRIC POWER CO,CEO,58,11994.627,001440,40778,2018,2011-11-12,,,ELECTRIC SERVICES,Electric Utilities,SP,AEP,5510,4911
43255,AMERICAN ELECTRIC POWER CO,CEO,59,13962.285,001440,40778,2019,2011-11-12,,,ELECTRIC SERVICES,Electric Utilities,SP,AEP,5510,4911
43255,AMERICAN ELECTRIC POWER CO,CEO,60,14804.822,001440,40778,2020,2011-11-12,,,ELECTRIC SERVICES,Electric Utilities,SP,AEP,5510,4911
43255,AMERICAN ELECTRIC POWER CO,CEO,61,14589.483,001440,40778,2021,2011-11-12,,,ELECTRIC SERVICES,Electric Utilities,SP,AEP,5510,4911
43255,AMERICAN ELECTRIC POWER CO,CEO,62,16171.445,001440,40778,2022,2011-11-12,,,ELECTRIC SERVICES,Electric Utilities,SP,AEP,5510,4911
43255,AMERICAN ELECTRIC POWER CO,CEO,63,3918.033,001440,40778,2023,2011-11-12,,,ELECTRIC SERVICES,Electric Utilities,SP,AEP,5510,4911
111,AMERICAN EXPRESS CO,CEO,61,45278.054,001447,02157,2013,2001-01-01,,2018-02-01,PERSONAL CREDIT INSTITUTIONS,Consumer Finance,SP,AXP,4020,6141
111,AMERICAN EXPRESS CO,CEO,62,48434.609,001447,02157,2014,2001-01-01,,2018-02-01,PERSONAL CREDIT INSTITUTIONS,Consumer Finance,SP,AXP,4020,6141
111,AMERICAN EXPRESS CO,CEO,63,38549.679,001447,02157,2015,2001-01-01,,2018-02-01,PERSONAL CREDIT INSTITUTIONS,Consumer Finance,SP,AXP,4020,6141
111,AMERICAN EXPRESS CO,CEO,64,28882.85,001447,02157,2016,2001-01-01,,2018-02-01,PERSONAL CREDIT INSTITUTIONS,Consumer Finance,SP,AXP,4020,6141
111,AMERICAN EXPRESS CO,CEO,65,92809.721,001447,02157,2017,2001-01-01,,2018-02-01,PERSONAL CREDIT INSTITUTIONS,Consumer Finance,SP,AXP,4020,6141
37051,AMERICAN EXPRESS CO,CEO,58,17340.684,001447,35181,2018,2018-02-01,,,PERSONAL CREDIT INSTITUTIONS,Consumer Finance,SP,AXP,4020,6141
37051,AMERICAN EXPRESS CO,CEO,59,30178.781,001447,35181,2019,2018-02-01,,,PERSONAL CREDIT INSTITUTIONS,Consumer Finance,SP,AXP,4020,6141
37051,AMERICAN EXPRESS CO,CEO,60,24156.744,001447,35181,2020,2018-02-01,,,PERSONAL CREDIT INSTITUTIONS,Consumer Finance,SP,AXP,4020,6141
37051,AMERICAN EXPRESS CO,CEO,61,29423.22,001447,35181,2021,2018-02-01,,,PERSONAL CREDIT INSTITUTIONS,Consumer Finance,SP,AXP,4020,6141
37051,AMERICAN EXPRESS CO,CEO,62,70580.269,001447,35181,2022,2018-02-01,,,PERSONAL CREDIT INSTITUTIONS,Consumer Finance,SP,AXP,4020,6141
37051,AMERICAN EXPRESS CO,CEO,63,16325.091,001447,35181,2023,2018-02-01,,,PERSONAL CREDIT INSTITUTIONS,Consumer Finance,SP,AXP,4020,6141
2653,AFLAC INC,CEO,61,28801.18,001449,00013,2013,1990-01-01,1973-01-01,,ACCIDENT AND HEALTH INSURANCE,Life & Health Insurance,SP,AFL,4030,6321
2653,AFLAC INC,CEO,62,11730.349,001449,00013,2014,1990-01-01,1973-01-01,,ACCIDENT AND HEALTH INSURANCE,Life & Health Insurance,SP,AFL,4030,6321
2653,AFLAC INC,CEO,63,21661.285,001449,00013,2015,1990-01-01,1973-01-01,,ACCIDENT AND HEALTH INSURANCE,Life & Health Insurance,SP,AFL,4030,6321
2653,AFLAC INC,CEO,64,30347.79,001449,00013,2016,1990-01-01,1973-01-01,,ACCIDENT AND HEALTH INSURANCE,Life & Health Insurance,SP,AFL,4030,6321
2653,AFLAC INC,CEO,65,77488.601,001449,00013,2017,1990-01-01,1973-01-01,,ACCIDENT AND HEALTH INSURANCE,Life & Health Insurance,SP,AFL,4030,6321
2653,AFLAC INC,CEO,66,15368.527,001449,00013,2018,1990-01-01,1973-01-01,,ACCIDENT AND HEALTH INSURANCE,Life & Health Insurance,SP,AFL,4030,6321
2653,AFLAC INC,CEO,67,14108.852,001449,00013,2019,1990-01-01,1973-01-01,,ACCIDENT AND HEALTH INSURANCE,Life & Health Insurance,SP,AFL,4030,6321
2653,AFLAC INC,CEO,68,14099.14,001449,00013,2020,1990-01-01,1973-01-01,,ACCIDENT AND HEALTH INSURANCE,Life & Health Insurance,SP,AFL,4030,6321
2653,AFLAC INC,CEO,69,15728.233,001449,00013,2021,1990-01-01,1973-01-01,,ACCIDENT AND HEALTH INSURANCE,Life & Health Insurance,SP,AFL,4030,6321
2653,AFLAC INC,CEO,70,15776.291,001449,00013,2022,1990-01-01,1973-01-01,,ACCIDENT AND HEALTH INSURANCE,Life & Health Insurance,SP,AFL,4030,6321
2653,AFLAC INC,CEO,71,7712.322,001449,00013,2023,1990-01-01,1973-01-01,,ACCIDENT AND HEALTH INSURANCE,Life & Health Insurance,SP,AFL,4030,6321
42214,AMERICAN INTERNATIONAL GROUP,CEO,69,14774.439,001487,20972,2013,2009-08-10,,2014-09-01,"FIRE, MARINE, AND CASUALTY INSURANCE",Multi-line Insurance,SP,AIG,4030,6331
42214,AMERICAN INTERNATIONAL GROUP,CEO,70,11363.14,001487,20972,2014,2009-08-10,,2014-09-01,"FIRE, MARINE, AND CASUALTY INSURANCE",Multi-line Insurance,SP,AIG,4030,6331
43633,AMERICAN INTERNATIONAL GROUP,CEO,56,12438.216,001487,18477,2015,2014-09-01,,2017-05-14,"FIRE, MARINE, AND CASUALTY INSURANCE",Multi-line Insurance,SP,AIG,4030,6331
43633,AMERICAN INTERNATIONAL GROUP,CEO,57,9567.544,001487,18477,2016,2014-09-01,,2017-05-14,"FIRE, MARINE, AND CASUALTY INSURANCE",Multi-line Insurance,SP,AIG,4030,6331
59845,AMERICAN INTERNATIONAL GROUP,CEO,70,26602.012,001487,22916,2017,2017-05-14,,2021-01-01,"FIRE, MARINE, AND CASUALTY INSURANCE",Multi-line Insurance,SP,AIG,4030,6331
59845,AMERICAN INTERNATIONAL GROUP,CEO,71,16654.676,001487,22916,2018,2017-05-14,,2021-01-01,"FIRE, MARINE, AND CASUALTY INSURANCE",Multi-line Insurance,SP,AIG,4030,6331
59845,AMERICAN INTERNATIONAL GROUP,CEO,72,16391.334,001487,22916,2019,2017-05-14,,2021-01-01,"FIRE, MARINE, AND CASUALTY INSURANCE",Multi-line Insurance,SP,AIG,4030,6331
59845,AMERICAN INTERNATIONAL GROUP,CEO,73,15401.073,001487,22916,2020,2017-05-14,,2021-01-01,"FIRE, MARINE, AND CASUALTY INSURANCE",Multi-line Insurance,SP,AIG,4030,6331
59843,AMERICAN INTERNATIONAL GROUP,CEO,54,19030.226,001487,42560,2021,2021-03-01,,,"FIRE, MARINE, AND CASUALTY INSURANCE",Multi-line Insurance,SP,AIG,4030,6331
59843,AMERICAN INTERNATIONAL GROUP,CEO,55,72089.209,001487,42560,2022,2021-03-01,,,"FIRE, MARINE, AND CASUALTY INSURANCE",Multi-line Insurance,SP,AIG,4030,6331
59843,AMERICAN INTERNATIONAL GROUP,CEO,56,10758.645,001487,42560,2023,2021-03-01,,,"FIRE, MARINE, AND CASUALTY INSURANCE",Multi-line Insurance,SP,AIG,4030,6331
2666,AMETEK INC,CEO,64,11166.171,001598,04252,2013,1999-09-01,1990-11-01,,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, A",Electrical Components & Equipment,SP,AME,2010,3823
2666,AMETEK INC,CEO,65,3445.762,001598,04252,2014,1999-09-01,1990-11-01,,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, A",Electrical Components & Equipment,SP,AME,2010,3823
2666,AMETEK INC,CEO,66,28914.284,001598,04252,2015,1999-09-01,1990-11-01,,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, A",Electrical Components & Equipment,SP,AME,2010,3823
27232,AMETEK INC,CEO,51,1704.554,001598,26399,2016,2016-05-05,,,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, A",Electrical Components & Equipment,SP,AME,2010,3823
27232,AMETEK INC,CEO,52,5985.954,001598,26399,2017,2016-05-05,,,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, A",Electrical Components & Equipment,SP,AME,2010,3823
27232,AMETEK INC,CEO,53,5361.474,001598,26399,2018,2016-05-05,,,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, A",Electrical Components & Equipment,SP,AME,2010,3823
27232,AMETEK INC,CEO,54,11174.243,001598,26399,2019,2016-05-05,,,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, A",Electrical Components & Equipment,SP,AME,2010,3823
27232,AMETEK INC,CEO,55,13401.763,001598,26399,2020,2016-05-05,,,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, A",Electrical Components & Equipment,SP,AME,2010,3823
27232,AMETEK INC,CEO,56,19624.314,001598,26399,2021,2016-05-05,,,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, A",Electrical Components & Equipment,SP,AME,2010,3823
27232,AMETEK INC,CEO,57,19642.354,001598,26399,2022,2016-05-05,,,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, A",Electrical Components & Equipment,SP,AME,2010,3823
27232,AMETEK INC,CEO,58,11948.951,001598,26399,2023,2016-05-05,,,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, A",Electrical Components & Equipment,SP,AME,2010,3823
